#,id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,
81,4nrtux8xl5lYegU8II5rAQ,Single For The Summer,Sam Hunt,59,0.553,0.856,8,-6.316,0,0.0465,0.00106,0,0.27,0.475,155.877,310307,4,
82,6TwcRSQgztJFw8tQDrs35D,The Thrill Of It All,Sam Smith,66,0.496,0.28,10,-9.156,1,0.0616,0.805,9.28E-05,0.11,0.113,127.149,208903,4,
83,4uGz0wWAkH4FGPpBR6eaHt,Coconut Tree,Shakira,57,0.81,0.751,11,-5.066,1,0.0365,0.212,0.000238,0.202,0.782,119.977,230173,4,
84,1zKuqri2rJxxr400ufB6vE,Understand,Shawn Mendes,62,0.689,0.606,0,-6.305,1,0.327,0.356,0,0.0997,0.0974,79.029,300973,4,
85,4dzugTzOB8deiIwTiNKhZ7,Call On Me - EDWYNN x TIKAL x Spirix Remix,Starley;Spirix;Edwynn;Tikal,12,0.646,0.714,0,-6.511,1,0.0378,0.0541,0,0.134,0.583,97.957,160408,4,
86,2gw3JifwFKTxp09KuRqZeX,Thank You Very Much (feat. Sonny Digital),Steve Aoki;Ricky Remedy;Sonny Digital,45,0.695,0.63,8,-7.201,0,0.0683,0.0775,0,0.113,0.259,133.961,193433,4,
87,79bxjfUDHCwCe7JR4glr8r,New Year’s Day,Taylor Swift,65,0.661,0.151,0,-12.864,1,0.0354,0.921,0,0.13,0.23,94.922,235467,4,
88,6cPyTS0Kk2sc4xQwC93kOg,Break Up Every Night,The Chainsmokers,70,0.624,0.806,1,-5.957,1,0.0437,0.00411,0,0.0872,0.528,149.999,207520,4,
89,1pJQAHpD51J7GYaFrrFO9S,Don't Say,The Chainsmokers;Emily Warren,67,0.567,0.464,5,-9.66,1,0.0302,0.0199,9.31E-06,0.269,0.309,99.806,228480,4,
90,6GeD5g9vZTz25Egf8kxoIY,Last Day Alive,The Chainsmokers;Florida Georgia Line,65,0.435,0.706,0,-8.197,1,0.0425,0.0571,4.15E-05,0.0903,0.24,144.913,214307,4,
91,0dj1CtyRxZ4bnIT4Q20jNT,Wake Up Alone,The Chainsmokers;Jhene Aiko,66,0.643,0.52,9,-5.968,0,0.0334,0.0102,0,0.11,0.23,75.168,215720,4,
92,1s7voXUxRTw98pmy1J8urv,Hands,The Vamps;Sabrina Carpenter; Mike Perry,5,0.722,0.731,0,-5.076,0,0.0506,0.0314,0,0.338,0.599,100.008,167987,4,
93,1w6EY8Wkqw4TxYUxiids7C,Love To Lay,The Weeknd,63,0.709,0.802,7,-5.031,0,0.0577,0.0449,0,0.282,0.717,116.984,223293,4,
94,3QvwFrhH9MTpeskhOaNDl4,Stargirl Interlude,The Weeknd;Lana Del Rey,63,0.634,0.475,5,-12.663,0,0.121,0.357,0.087,0.0987,0.443,89.916,111640,4,
95,4RgoqOBE34Q6zZj8K7RUAx,Go,Travis Scott;Quavo; Huncho Jack,65,0.749,0.887,5,-0.898,0,0.0436,0.301,3.04E-05,0.297,0.638,135.006,156530,4,
96,3R07j3eglCJ0CJRsAzP9xd,Victory,Wisin,47,0.536,0.839,0,-5.039,1,0.122,0.123,0,0.131,0.313,148.265,86413,4,
97,1LLIkqUK19oJXHozT5PJ3B,BLUE,ZAYN,56,0.222,0.184,0,-13.235,1,0.0335,0.925,0.000298,0.1,0.156,184.171,224320,5,
98,0Qr56LFuNj4Ncf6RLOv3Od,LIKE I WOULD - Sharam Jey Remix,ZAYN,38,0.617,0.916,10,-4.026,0,0.049,0.00136,0.218,0.0395,0.362,117.999,281046,4,
99,2KTsF6TFius01SCYmnIkJG,True Colors,Zedd,47,0.624,0.744,2,-4.82,0,0.0333,0.367,1.62E-05,0.0949,0.397,126.008,228146,4,
100,7jHjBBlh1bvBsiAPdCliaS,Prende en Fuego,"Zion, Lennox",38,0.781,0.852,0,-5.17,0,0.0622,0.0271,0.000125,0.152,0.598,157.017,217493,4,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
